Brand,Name,Picture,Year,Categorys,Note,,
Acqua di Parma,Acqua di Parma Blu Mediterraneo Arancia di Capri,o.1685.jpg,1999,"[""citrus"", ""fresh spicy"", ""aromatic"", ""green"", ""caramel"", ""terpenic""]","{""middle"": [""Petitgrain"", ""Cardamom""], ""base"": [""Musk"", ""Caramel""], ""top"": [""Orange"", ""Sicilian Mandarin"", ""Bergamot"", ""Lemon""]}","[""15"", ""27"", ""44"", ""15"", ""7""]","[""55"", ""43"", ""16"", ""11""]"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Cipresso di Toscana,o.1686.jpg,2005,"[""aromatic"", ""woody"", ""fresh spicy"", ""green"", ""herbal""]","{""middle"": [""Pine Tree"", ""Coriander"", ""Lavender"", ""Jasmine"", ""Lily-of-the-Valley"", ""Cardamom""], ""base"": [""Cypress"", ""Silver Pine"", ""Patchouli"", ""Oakmoss"", ""Vetiver"", ""Cedar""], ""top"": [""Rosemary"", ""Basil"", ""Grapefruit"", ""Sage"", ""Petitgrain""]}","[""2"", ""11"", ""11"", ""4"", ""0""]","[""8"", ""21"", ""1"", ""2""]"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Fico di Amalfi,o.1687.jpg,2006,"[""citrus"", ""woody"", ""fruity"", ""sweet"", ""green""]","{""middle"": [""Pink Pepper"", ""Jasmine"", ""Fig Nectar""], ""base"": [""Cedar"", ""Fig Tree"", ""Benzoin""], ""top"": [""Grapefruit"", ""Bergamot"", ""Lemon"", ""Citron""]}","[""18"", ""46"", ""73"", ""26"", ""4""]","[""53"", ""102"", ""16"", ""13""]"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Ginepro di Sardegna,o.23851.jpg,2014,"[""fresh spicy"", ""aromatic"", ""woody"", ""citrus"", ""herbal""]","{""middle"": [""Sage"", ""Cypress""], ""base"": [""Virginia Cedar""], ""top"": [""Juniper"", ""Bergamot"", ""Pepper"", ""Allspice"", ""Nutmeg""]}","[""2"", ""6"", ""25"", ""33"", ""1""]","[""19"", ""49"", ""12"", ""11""]"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Mandorlo di Sicilia,o.1688.jpg,1999,"[""almond"", ""vanilla"", ""sweet"", ""fruity"", ""powdery""]","{""middle"": [""Jasmine"", ""White Peach"", ""Ylang-Ylang""], ""base"": [""Bourbon Vanilla"", ""Cedar"", ""White Musk"", ""Tolu Balsam""], ""top"": [""Green Almond"", ""Star Anise"", ""Bergamot"", ""Orange""]}","[""8"", ""15"", ""68"", ""91"", ""17""]","[""40"", ""135"", ""45"", ""15""]"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Bergamotto di Calabria,o.7826.jpg,2010,"[""citrus"", ""fresh spicy"", ""woody"", ""aromatic"", ""floral"", ""green""]","{""middle"": [""Ginger"", ""Cedar"", ""Flowers""], ""base"": [""vetyver"", ""Benzoin"", ""Musk""], ""top"": [""Bergamot"", ""Citron""]}","[""44"", ""30"", ""28"", ""5"", ""3""]","[""72"", ""31"", ""9"", ""9""]"
Acqua di Parma,Acqua di parma Blue Mediterraneo Mirto di Panarea,o.3108.jpg,2008,"[""aromatic"", ""fresh spicy"", ""citrus"", ""herbal"", ""woody""]","{""middle"": [""Sea Notes"", ""Jasmine"", ""Rose""], ""base"": [""Mastic or Lentisque"", ""Juniper"", ""Cedar"", ""Amber""], ""top"": [""Myrtle"", ""Basil"", ""Lemon"", ""Bergamot""]}","[""5"", ""13"", ""62"", ""15"", ""9""]","[""30"", ""74"", ""14"", ""10""]"
Acqua di Parma,Blu Mediterraneo Foglie di Basilico,o.6095.jpg,1999,"[""fresh spicy"", ""green"", ""herbal"", ""fresh""]","[""Basil""]","[""0"", ""1"", ""2"", ""0"", ""0""]","[""0"", ""4"", ""0"", ""0""]"
Acqua di Parma,Blu Mediterraneo Quercia Marina,o.6096.jpg,1999,"[""aromatic"", ""marine"", ""green"", ""floral"", ""woody"", ""warm spicy""]","[""Seaweed"", ""Mint"", ""Virginia Cedar"", ""Carnation""]","[""1"", ""0"", ""2"", ""0"", ""0""]","[""2"", ""3"", ""4"", ""1""]"
Acqua di Parma,Cedro di Taormina,o.35398.jpg,2016,"[""woody"", ""fresh spicy"", ""citrus"", ""aromatic"", ""green"", ""fresh""]","{""middle"": [""Black Pepper"", ""Lavender""], ""base"": [""Labdanum"", ""Vetiver"", ""Virginian Cedar""], ""top"": [""Citruses"", ""Petitgrain"", ""Basil""]}","[""1"", ""12"", ""15"", ""0"", ""1""]","[""6"", ""19"", ""6"", ""3""]"
